M,Basis Functions,E1,E2,E3,E5,E10
10.0000000000,100.0000000000,9.8701007639,24.8460500140,24.9308717242,44.9801831793,83.3999990663
12.0000000000,144.0000000000,9.6970785200,24.3332962678,24.5849224836,44.1782956185,81.9964334531
15.0000000000,225.0000000000,9.4279113185,23.9590868399,24.0795251660,43.0118832454,80.0203217866
18.0000000000,324.0000000000,9.3345368138,23.5791535025,23.5977825654,42.3573912870,78.3039446320
20.0000000000,400.0000000000,9.2721952485,23.4563848318,23.4570968969,42.0516099485,77.8205269786
22.0000000000,484.0000000000,9.2340639039,23.3687486764,23.3885139616,41.8786274504,77.5729552871
25.0000000000,625.0000000000,9.1946565082,23.2992092820,23.3328295980,41.7333747139,77.3674473945
