V0,E1,E2,E3,E5
1000.0000000000,8.6472672154,21.8424418972,21.9472408855,39.2623888749
10000.0000000000,9.3444775769,23.5917106788,23.6404054324,42.4337962639
100000.0000000000,9.9167044908,25.0311898258,25.1091896958,45.0057157025
1000000.0000000000,10.5961264227,26.5343837191,26.7747705733,48.2114127656
