resolution,nodes,energy,change_percent
0.1,134,9.437583228538395,nan
0.08,197,9.39065901006581,0.4996903670156351
0.06,330,9.34666581446591,0.47068330539658854
0.05,466,9.332452708965011,0.15229764290415307
0.04,700,9.319304813968989,0.1410823581638238
0.03,1213,9.309033228238775,0.11033998352326607
