resolution,nodes,energy,exact,error,change_percent
0.1,190,9.168730971884273,9.084207267768615,0.9304466710656535,nan
0.08,245,9.140496192377718,9.084207267768615,0.6196349659349962,0.3088976671758781
0.06,361,9.119343233420649,9.084207267768615,0.386780757157514,0.23195704356808935
0.05,484,9.110789504006314,9.084207267768615,0.2926203184730785,0.09388571002077199
0.04,697,9.10370300067557,9.084207267768615,0.21461127352439455,0.07784198726847036
0.03,1182,9.0979664902236,9.084207267768615,0.1514631056889594,0.06305266630882411
