V0,E1,E2,E3,E5
1000.0000000000,10.3872726234,17.6116262914,29.3473732491,43.1648089809
10000.0000000000,11.3538855384,19.0069953591,31.5763127148,47.0210980964
100000.0000000000,12.1276690238,20.0719490347,33.2149632231,49.7562743138
1000000.0000000000,12.6864011233,21.0772107312,34.9772205210,52.2201254300
