M,Basis Functions,E1,E2,E3,E5,E10
10.0000000000,100.0000000000,12.0278897120,19.9439534482,33.1661750875,49.1981953529,88.3795139694
12.0000000000,144.0000000000,11.7068015238,19.5458643161,32.5578345430,47.9614993814,85.2521716881
15.0000000000,225.0000000000,11.3441964674,19.1704185242,31.7905696386,47.2385168376,82.0840444838
18.0000000000,324.0000000000,11.3068553710,18.9746425515,31.5532089411,46.8705540786,81.9198936436
20.0000000000,400.0000000000,11.2826666640,18.8999579874,31.3701924240,46.7273990048,81.8388683808
22.0000000000,484.0000000000,11.2359585691,18.8229490069,31.2140997699,46.5338842673,81.5018766063
25.0000000000,625.0000000000,11.1510480717,18.7341515063,31.0143714947,46.3738172307,80.8190736022
