resolution,nodes,energy,change_percent
0.1,234,11.57639118100775,nan
0.08,297,11.509632270811226,0.5800264389491147
0.06,424,11.46008276661117,0.432366023955925
0.05,543,11.436500102941611,0.20620525035883805
0.04,782,11.419820483739768,0.14605850613495122
0.03,1275,11.406773748221278,0.11437708686493614
